H,K,L,Distance,2theta/TOF,Mult
0,1,1,6.6538,13.306648091226005,12
0,0,2,4.705,18.861012265033658,6
1,1,2,3.8416,23.153078628287098,24
0,2,2,3.3269,26.797093015972447,12
0,1,3,2.9757,30.02998813756697,24
2,2,2,2.7164,32.97451421944244,8
1,2,3,2.5149,35.70179827482561,48
0,0,4,2.3525,38.25876479185931,6
0,3,3,2.2179,40.67996647738307,12
0,2,4,2.1041,42.98623130099342,24
2,3,3,2.0062,45.19670383138763,24
2,2,4,1.9208,47.32565205275952,24
0,1,5,1.8454,49.385517368124596,24
1,2,5,1.718,53.324601272386786,48
0,4,4,1.6634,55.22125213531748,12
0,3,5,1.6138,57.071211248712245,24
0,0,6,1.5683,58.8868763785131,6
1,1,6,1.5265,60.66596624510023,24
0,2,6,1.4878,62.41795710809945,24
1,4,5,1.4519,64.14246829580173,48
2,2,6,1.4186,65.8358626860435,24
1,3,6,1.3874,67.51210532506734,48
4,4,4,1.3582,69.16665297599593,8
0,1,7,1.3307,70.80745275187925,24
0,4,6,1.3049,72.42597447348359,24
1,2,7,1.2805,74.03315600716985,48
2,4,6,1.2574,75.62891432229468,48
0,3,7,1.2355,77.21385728400914,24
1,5,6,1.195,80.3495473063477,48
0,0,8,1.1762,81.90494292956095,6
1,1,8,1.1582,83.45967168007738,24
0,2,8,1.1411,85.00054674657166,24
3,5,6,1.1247,86.54122905340718,48
0,6,6,1.1089,88.08814219345103,12
0,5,7,1.0938,89.6282185961049,24
