No.,H,K,L,Mult,2theta/,Ints/
1,0,0,-2,2,22.056246171547162,0.43418587719111706
2,2,0,0,4,22.294099474223163,0.8509680007109598
3,0,2,2,8,31.55909092863357,205.60097101768466
4,-2,2,0,8,31.730111603480974,202.53682730614403
5,2,-2,2,8,38.97803427634409,13.938381700951828
6,0,0,4,2,44.97729821316996,28.928652119732376
7,-4,0,0,4,45.48182222843258,55.72999613619545
8,-2,0,4,8,50.75218576368414,0.3172518139294917
9,-4,0,-2,8,51.09894484644998,0.3123415254823406
10,-2,-4,0,8,51.21255083067416,0.3107553323450212
11,2,-2,4,16,56.08437156005852,68.60888550605303
12,4,2,-2,16,56.40628832930175,67.28535241537921
13,4,0,4,8,65.88248996187443,29.589437237218462
14,-4,4,0,8,66.27768978078221,28.941892796497175
15,0,0,-6,2,70.01943391973667,0.03602094918117882
16,-2,4,4,8,70.49466904018203,0.14175953214586684
17,-4,-4,-2,8,70.7807497107841,0.140391363715271
18,6,0,0,4,70.87258511596582,0.06997851271919545
19,0,-2,-6,8,74.51198677550654,12.733689053641362
20,6,0,2,8,75.25910730467487,12.30420033942152
21,-2,6,0,8,75.35015646188641,12.253290306634474
22,-2,-2,6,8,78.90799267769742,1.0114696309324067
23,6,2,-2,16,79.63823807684452,1.959228873712837
24,4,4,-4,8,83.6998291423423,12.962918611216574
25,4,0,6,8,87.54255670514908,0.08455670042206284
26,6,0,4,8,87.98836125891157,0.08367842874955245
27,4,-6,0,8,88.34883750079352,0.08298809820363048
28,2,4,-6,16,91.82276883915976,14.28895812721912
29,-6,-2,4,16,92.26605508105523,14.14157091043249
30,-6,-4,2,16,92.53448708654415,14.054541075222508
31,0,0,8,2,99.80218451675717,2.135881545036716
32,0,8,0,4,101.25939775028712,4.175257742402595
33,0,2,8,8,104.17698709188865,0.0665118969596815
34,-4,-4,-6,8,104.82957775979753,0.06631906853586349
35,6,-4,-4,8,105.291203693162,0.06619902058471558
36,-8,0,2,8,105.57073303405916,0.06613282454015529
37,-2,8,0,8,105.66434085538093,0.06611174356495726
38,-2,2,-8,16,108.62868696036323,11.29827558116712
39,6,0,-6,8,109.30658140110751,5.632057838837586
40,-8,-2,2,16,110.06560481568256,11.2314580244052
41,6,6,0,4,110.1527642191394,2.8070200575061617
42,6,-2,-6,16,113.89818488349364,0.8852004864096332
43,6,6,2,8,114.69078852508848,0.44190136393892454
44,0,-4,8,8,117.963592263826,7.686057346161187
45,0,-8,4,8,119.18949139007152,7.710802077610356
46,4,8,0,8,119.606648523911,7.7212582958131994
